num	num	num	num	num	num	num	num	num	num	num	num	class
2	22	1	1	2	0	1	0	1	5	23	71.42	No
2	47	1	0	4	0	7	0	1	3	23	69.93	Si
2	118	1	0	4	0	7	0	1	1	5	0	Si
2	18	1	1	2	0	3	0	0	6	19	56.56	Si
2	20	1	0	4	0	7	0	1	3	14	58.69	Si
2	19	1	1	2	0	1	0	1	6	19	51.18	No
2	21	1	1	1	0	1	1	1	3	13	29.55	No
2	21	1	0	4	0	7	1	1	4	27	59.15	Si
2	21	1	1	1	0	1	1	1	3	10	40.71	No
2	20	1	1	2	0	1	0	1	4	16	88.38	Si
1	18	1	1	2	0	3	0	0	5	21	46.71	Si
2	30	1	1	2	0	3	0	0	1	16	77.28	Si
1	20	1	0	4	0	7	1	1	2	15	69.22	Si
2	21	1	0	4	0	1	0	0	4	25	63.33	No
1	26	1	0	4	0	1	0	0	1	5	81.43	Si
1	118	1	1	1	0	1	1	1	1	0	0	No
1	23	1	1	2	0	1	0	1	5	13	63.33	No
1	22	1	0	4	0	7	0	1	4	17	55.72	Si
2	19	1	0	4	0	7	1	1	3	9	71	Si
2	21	1	1	2	0	3	0	0	3	17	67.67	Si
2	19	1	1	2	0	1	0	1	5	17	71.9	No
1	22	1	1	4	0	6	0	0	4	14	51.21	Si
1	23	1	0	1	0	2	1	1	5	13	75.19	No
1	20	1	0	3	0	4	1	1	3	10	63.63	Si
1	24	1	0	1	0	2	1	1	4	17	37.5	No
1	21	1	1	2	0	3	0	0	4	16	60.1	Si
1	21	1	0	1	0	2	1	1	4	27	70.34	No
2	27	1	0	3	0	4	1	1	1	0	89.57	Si
2	22	1	1	2	0	1	0	1	4	13	55.74	No
1	18	1	1	2	0	1	0	1	6	19	51.82	No
2	28	1	0	4	0	1	0	0	3	29	59.59	No
1	22	1	0	3	0	4	1	1	5	26	87.51	Si
2	19	1	0	4	0	7	0	1	5	21	48.33	Si
1	31	1	0	4	0	7	0	1	5	16	62	Si
2	23	1	0	3	0	5	0	0	2	10	57.48	No
2	21	1	0	4	0	7	0	1	4	27	69.77	Si
1	19	1	1	1	0	1	1	1	2	16	68.55	No
1	26	1	1	2	0	3	0	0	4	16	79.67	Si
1	28	1	1	1	0	1	1	1	1	3	81.66	Si
1	20	1	0	4	0	1	0	0	5	23	59.88	No
2	20	1	1	4	0	6	0	0	8	31	26.15	Si
2	23	1	1	2	0	3	0	0	1	6	58.65	Si
2	20	1	0	4	0	7	0	1	4	15	59	Si
1	19	1	0	4	0	7	0	1	5	21	49.13	Si
2	19	1	1	2	0	3	0	0	6	19	50.64	Si
1	21	1	1	2	0	1	0	1	1	9	67.31	No
1	21	1	0	1	0	2	1	1	7	20	56.66	No
2	22	1	0	3	0	5	0	0	2	12	60.43	No
1	20	1	0	4	0	7	0	1	3	14	60.04	Si
1	17	1	0	3	0	4	1	1	6	19	63.88	Si
2	19	1	1	1	0	1	1	1	6	19	47.82	No
2	37	1	0	4	0	7	0	1	4	16	71.27	Si
2	21	1	0	1	0	2	1	1	4	27	66	No
2	17	1	0	3	0	5	0	0	5	21	33.75	No
2	21	1	0	4	0	1	0	0	3	12	63.2	No
1	23	1	1	4	0	6	0	0	4	9	66.93	Si
2	118	1	1	1	0	1	1	1	1	0	0	No
1	21	1	0	4	0	7	0	1	3	24	58.07	Si
2	19	1	0	4	0	1	0	0	1	4	42.2	No
1	22	1	1	2	0	1	0	1	8	19	75.45	No
2	21	1	1	4	0	6	0	0	7	20	62.47	Si
1	29	1	1	1	0	1	1	1	2	16	80.32	Si
1	24	1	0	3	0	5	0	0	2	15	60.04	No
2	118	1	1	2	0	1	0	1	1	5	0	No
1	22	1	1	2	0	1	0	1	5	18	50.2	No
2	22	1	0	1	0	2	1	1	4	17	56.29	No
2	118	1	0	4	0	7	0	1	1	15	0	Si
1	118	1	0	4	0	7	1	1	1	5	0	Si
2	118	1	0	1	0	2	1	1	1	0	0	No
